ID;VISITA;MES;FECHA;SATISFACCION_INFOR;SATISFACCION_RECORRIDO;SATISFACCION_GUIA;SATISFACCION_GLOBAL;LO_MEJOR;LO_PEOR;OPINION;SUGERENCIAS
5;LA HISTORIA IMPRESCINDIBLE DE MADRID;SEPTIEMBRE;08/09/2023;10;10;10;10;La muralla ;Me ha gustado todo ;Como esperaba;No tengo 
25;MUJERES QUE HAN HECHO HISTORIA EN MADRID;NOVIEMBRE;25/11/2023;10;10;10;10;La narración de la guia;Se me ha hecho corta;Mejor de lo que esperaba;Que se realicen más visitas de este tipo y se haga más difusión de las musmas
28;LA HISTORIA IMPRESCINDIBLE DE MADRID;NOVIEMBRE;26/11/2023;10;10;10;10;La narración de la guia alexasandra  muy bien;Que se me ha hecho corta la visita;Mejor de lo que esperaba;Organizar más visitas guiadas de este tipo de historia de Madrid.
2;MADRID HISTÓRICO;Mayo;05/05/2023;10;10;10;10;La pedagogía de la explicación y ruta;Nada,todo ha sido positivo;Mejor de lo que esperaba;
19;MADRID MONUMENTAL;JULIO;28/07/2023;10;9;9;9;;;Como esperaba;
10;MADRID EN FEMENINO;AGOSTO;05/08/2023;10;10;10;10;La plaza de la villa y su explicación desde 1400 a 1700.;La Calle Arenal sin Placa a Dña. Ma. Isidro de Guzmán y Lacerda;Mejor de lo que esperaba;Más días con intérprete de lengua de signos. 
4;MADRID HISTÓRICO;FEBRERO;05/02/2023;10;10;10;10;La profesionalidad de la guía ;;Mejor de lo que esperaba;
1;MADRID MONUMENTAL;JUNIO;02/06/2023;10;10;10;10;La visita en general;;Mejor de lo que esperaba;
24;LA NUEVA PLAZA DE ESPAÑA;NOVIEMBRE;24/11/2023;10;10;10;10;La voz clara de la guía. El recorrido.;Los ladronzuelos.;Mejor de lo que esperaba;Palacios, jardines, pueblos históricos.
24;SAN ISIDRO HISTORIA DE UN SANTO MADRILEÑO;JULIO;30/07/2023;10;10;10;10;;;Como esperaba;
26;MADRID MONUMENTAL;SEPTIEMBRE;22/09/2023;10;10;10;10;La zona de Alcala;Nada;Mejor de lo que esperaba;Ninguna 
32;MADRID MONUMENTAL;AGOSTO;19/08/2023;10;10;9;10;Las anécdotas y datos históricos ;"La hora
";Mejor de lo que esperaba;
34;MADRID EN FEMENINO;SEPTIEMBRE;30/09/2023;10;7;8;8;Las calles por las que hemos ido ;;Peor de lo que esperaba;Estructurar, ordenar mejor el hilo de la explicación 
28;HISTORIAS Y LEYENDAS DE MADRID;AGOSTO;19/08/2023;9;10;9;9;Las calles por las que hemos ido, que no conocía;Alguna cosa que la guía no sabía;Mejor de lo que esperaba;Que esté más pensada para ser accesible
